brand_name,good_name,price,zhupingchicun,zhupingfenbianlv,houzhishexiangtou,qianzhishexiangtou,dianchirongliang,dianchileixing,hexinshu,neicun,pingfen,pinglunrenshu,xingjiabi,xingneng,xuhang,waiguan,paizhao,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,good_na
Acer,Acer Liquid E1（V360）,1399,4.5英寸,960x540像素,500万像素,,1760mAh,可拆卸式电池,双核,1GB,6.8,4,9,7,7,6,5,,,功能一般,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acer Liquid E1
Acer,Acer Liquid e（法拉利版）,4099,3.5英寸,800x480像素,500万像素,,1350mAh,,,256MB,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acer Liquid e
Acer,Acer S120（Liquid Metal）,2200,3.6英寸,800x480像素,500万像素,,,,,512MB,8.7,4,,,,,,,,,屏幕大,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acer S120
Acer,Acer S300（Iconia Smart）,1999,4.8英寸,1024x480像素,800万像素,200万像素,1500mAh,,,512MB,8,2,,,,,,,,,屏幕大,-1,续航一般,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acer S300
Acer,Acer AT390,699,4.3英寸,800x480像素,500万像素,30万像素,1500mAh,可拆卸式电池,单核,512MB,2,2,,,,,,屏幕大,-1,系统流畅,-1,价格合理,-1,电池表现差,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acer AT390
Acer,Acer AK330,1399,4.3英寸,960x540像素,500万像素,,1500mAh,可拆卸式电池,单核,1GB,9.5,4,,,,,,外观漂亮,-1,电池容量小,-1,主题单一,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acer AK330
Acer,Acer AK330s,1299,4.3英寸,960x540像素,500万像素,,1500mAh,可拆卸式电池,双核,1GB,6.8,7,,,,,,运行流畅,-2,性价比高,-2,外观漂亮,-1,价格便宜,-1,音色音质好,-1,分辨率高,-1,视频流畅效果好,-1,续航一般,-1,电池表现差,-1,运行速度慢,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acer AK330s
Acer,Acer Liquid E2（V370）,1699,4.5英寸,960x540像素,800万像素,200万像素,2000mAh,可拆卸式电池,四核,1GB,8,4,,,,,,音色音质好,-2,运行流畅,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acer Liquid E2
Acer,Acer Liquid A1,1860,3.5英寸,800x480像素,500万像素,,1350mAh,,,,6.7,6,,,,,,屏幕效果好,-1,外观漂亮,-1,电池容量小,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acer Liquid A1
Acer,Acer Stream,4490,3.7英寸,800x480像素,500万像素,,,,,,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acer Stream
Acer,Acer F900,1950,3.8英寸,800x480像素,320万像素,,1530mAh,,,,8.5,4,,,,,,屏幕效果好,-1,分辨率高,-1,性价比高,-1,通话效果一般,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acer F900
AGM,AGM MINI（全网通）,699,4英寸,800x480像素,800万像素,200万像素,2600mAh,可拆卸式电池,四核,1GB,7.8,13,7.5,6.7,8.2,9.1,7.5,手感舒适,-2,电池容量大,-2,外观简约,-1,性价比高,-1,性能不错,-1,系统流畅,-1,续航出色,-1,外观漂亮,-1,价格高,-4,相机像素低,-2,电池容量小,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AGM MINI
AGM,AGM A1（双4G）,1999,5英寸,1280x720像素,1300万像素,200万像素,4050mAh,可拆卸式电池,四核,2GB,8.4,9,8.1,7.8,9.8,8.7,7.8,续航出色,-5,屏幕大,-3,系统流畅,-3,外观漂亮,-1,耳机音质好,-1,屏幕效果好,-1,性价比高,-1,外观不是很满意,-1,摄像效果一般,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AGM A1
AGM,AGM Rio（全网通）,999,4英寸,800x480像素,800万像素,,2600mAh,,四核,2GB,8.7,13,8.9,8.1,8.7,10,7.9,外观漂亮,-3,系统流畅,-1,系统强悍,-1,续航出色,-1,屏幕大,-1,手感舒适,-1,价格高,-1,机身内存小,-1,分辨率低,-1,续航一般,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AGM Rio
AGM,AGM X1（标配版/全网通）,2599,5.5英寸,1920x1080像素,,500万像素,5400mAh,不可拆卸式电池,真八核,3GB,8.4,29,9.1,3,10,9.1,9,续航出色,-7,性价比高,-2,系统流畅,-2,摄像效果出色,-1,屏幕效果好,-1,成像效果好,-1,屏幕大,-1,性价比高,-1,手感舒适,-1,运行流畅,-1,音色音质好,-1,电池容量大,-1,性能好,-1,信号强,-1,系统强悍,-1,配置低,-1,续航一般,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,AGM X1
